Avoir, aurais, aurais, aurait, aurait, aurions, auriez, auraient, auraient
Être, serais, serais, serait, serait, serions, seriez, seraient, seraient
Aller, irais, irais, irait, irait, irions, iriez, iraient, iraient
Faire, ferais, ferais, ferait, ferait, ferions, feriez, feraient, feraient
Pouvoir, pourrais, pourrais, pourrait, pourrait, pourrions, pourriez, pourraient, pourraient
Mettre, mettrais, mettrais, mettrait, mettrait, mettrions, mettriez, mettraient, mettraient
Dire, dirais, dirais, dirait, dirait, dirions, diriez, diraient, diraient
Devoir, devrais, devrais, devrait, devrait, devrions, devriez, devraient, devraient
Prendre, prendrais, prendrais, prendrait, prendrait, prendrions, prendriez, prendraient, prendraient
Donner, donnerais, donnerais, donnerait, donnerait, donnerions, donneriez, donneraient, donneraient
Vouloir, voudrais, voudrais, voudrait, voudrait, voudrions, voudriez, voudraient, voudraient
Savoir, saurais, saurais, saurait, saurait, saurions, sauriez, sauraient, sauraient
Voir, verais, verais, verait, verait, verions, veriez, veraient, veraient
Demander, demanderais, demanderais, demanderait, demanderait, demanderions, demanderiez, demanderaient, demanderaient
Trouver, trouverais, trouverais, trouverait, trouverait, trouverions, trouveriez, trouveraient, trouveraient
Rendre, rendrais, rendrais, rendrait, rendrait, rendrions, rendriez, rendraient, rendraient
Venir, viendrais, viendrais, viendrait, viendrait, viendrions, viendriez, viendraient, viendraient
Passer, passerais, passerais, passerait, passerait, passerions, passeriez, passeraient, passeraient
Comprendre, comprendrais, comprendrais, comprendrait, comprendrait, comprendrions, comprendriez, comprendraient, comprendraient
Rester, resterais, resterais, resterait, resterait, resterions, resteriez, resteraient, resteraient
Tenir, tiendrais, tiendrais, tiendrait, tiendrait, tiendrions, tiendriez, tiendraient, tiendraient
Porter, porterais, porterais, porterait, porterait, porterions, porteriez, porteraient, porteraient
Parler, parlerais, parlerais, parlerait, parlerait, parlerions, parleriez, parleraient, parleraient
Montrer, montrerais, montrerais, montrerait, montrerait, montrerions, montreriez, montreraient, montreraient
Continuer, continuerais, continuerais, continuerait, continuerait, continuerions, continueriez, continueraient, continueraient
Penser, penserais, penserais, penserait, penserait, penserions, penseriez, penseraient, penseraient
Suivre, suivrais, suivrais, suivrait, suivrait, suivrions, suivriez, suivraient, suivraient
Connaître, connaîtrais, connaîtrais, connaîtrait, connaîtrait, connaîtrions, connaîtriez, connaîraient, connaîtraient
Croire, croirais, croirais, croirait, croirait, croirions, croiriez, croiraient, croiraient
Commencer, commencerais, commencerais, commencerait, commencerait, commencerions, commenceriez, commenceraient, commenceraient
Compter, compterais, compterais, compterait, compterait, compterions, compteriez, compteraient, compteraient
Entendre, entendrais, entendrais, entendrait, entendrait, entendrions, entendriez, entendraient, entendraient
Attendre, attendrais, attendrais, attendrait, attendrait, attendrions, attendriez, attendraient, attendraient
Remettre, remettrais, remettrais, remettrait, remettrait, remettrions, remettriez, remettraient, remettraient
Appeler, appellerais, appellerais, appellerait, appellerait, appelerions, appeleriez, appelleraient, appelleraient
Permettre, permettrais, permettrais, permettrait, permettrait, permettrions, permettriez, permettraient, permettraient
Occuper, occuperais, occuperais, occuperait, occuperait, occuperions, occuperiez, occuperaient, occuperaient
Devenir, deviendrais, deviendrais, deviendrait, deviendrait, deviendrions, deviendriez, deviendraient, deviendraient
Partir, partirais, partirais, partirait, partirait, partirions, partiriez, partiraient, partiraient
Décider, déciderais, déciderais, déciderait, déciderait, déciderions, décideriez, décideraient, décideraient
Arriver, arriverais, arriverais, arriverait, arriverait, arriverions, arriveriez, arriveraient, arriveraient
Servir, servirais, servirais, servirait, servirait, servirions, serviriez, serviraient, serviraient
Sembler, semblerais, semblerais, semblerait, semblerait, semblerions, sembleriez, sembleraient, sembleraient
Revenir, reviendrais, reviendrais, reviendrait, reviendrait, reviendrions, reviendriez, reviendraient, reviendraient
Laisser, laisserais, laisserais, laisserait, laisserait, laisserions, laisseriez, laisseraient, laisseraient
Recevoir, recevrais, recevrais, recevrait, recevrait, recevrions, recevriez, recevraient, recevraient
Répondre, répondrais, répondrais, répondrait, répondrait, répondrions, répondriez, répondraient, répondraient
Vivre, vivrais, vivrais, vivrait, vivrait, vivrions, vivriez, vivraient, vivraient
Rappeler, rappellerais, rappellerais, rappellerait, rappellerait, rappellerions, rappelleriez, rappelleraient, rappelleraient
Présenter, présenterais, présenterais, présenterait, présenterait, présenterions, présenteriez, présenteraient, présenteraient
Accepter, accepterais, accepterais, accepterait, accepterait, accepterions, accepteriez, accepteraient, accepteraient
Agir, agirais, agirais, agirait, agirait, agirions, agiriez, agiraient, agiraient
Poser, poserais, poserais, poserait, poserait, poserions, poseriez, poseraient, poseraient
Jouer, jouerais, jouerais, jouerait, jouerait, jouerions, joueriez, joueraient, joueraient
Reconnaître, reconnaîtrais, reconnaîtrais, reconnaîtrait, reconnaîtrait, reconnaîtrions, reconnaîtriez, reconnaîraient, reconnaîtraient
Choisir, choisirais, choisirais, choisirait, choisirait, choisirions, choisiriez, choisiraient, choisiraient
Toucher, toucherais, toucherais, toucherait, toucherait, toucherions, toucheriez, toucheraient, toucheraient
Aimer, aimerais, aimerais, aimerait, aimerait, aimerions, aimeriez, aimeraient, aimeraient
Retrouver, retrouverais, retrouverais, retrouverait, retrouverait, retrouverions, retrouveriez, retrouveraient, retrouveraient
Perdre, perdrais, perdrais, perdrait, perdrait, perdrions, perdriez, perdraient, perdraient
Expliquer, expliquerais, expliquerais, expliquerait, expliquerait, expliquerions, expliqueriez, expliqueraient, expliqueraient
Considérer, considérerais, considérerais, considérerait, considérerait, considérerions, considéreriez, considéreraient, considéreraient
Ouvrir, ouvrirais, ouvrirais, ouvrirait, ouvrirait, ouvririons, ouvririez, ouvriraient, ouvriraient
Gagner, gagnerais, gagnerais, gagnerait, gagnerait, gagnerions, gagneriez, gagneraient, gagneraient
Exister, existerais, existerais, existerait, existerait, existerions, existeriez, existeraient, existeraient
Refuser, refuserais, refuserais, refuserait, refuserait, refuserions, refuseriez, refuseraient, refuseraient
Lire, lirais, lirais, lirait, lirait, lirions, liriez, liraient, liraient
Réussir, réussirais, réussirais, réussirait, réussirait, réussirions, réussiriez, réussiraient, réussiraient
Changer, changerais, changerais, changerait, changerait, changerions, changeriez, changeraient, changeraient
Travailler, travaillerais, travaillerais, travaillerait, travaillerait, travaillerions, travailleriez, travailleraient, travailleraient
Représenter, représenterais, représenterais, représenterait, représenterait, représenterions, représenteriez, représenteraient, représenteraient
Assurer, assurerais, assurerais, assurerait, assurerait, assurerions, assureriez, assureraient, assureraient
Essayer, essayerais, essayerais, essayerait, essayerait, essayerions, essayeriez, essayeraient, essayeraient
Empêcher, empêcherais, empêcherais, empêcherait, empêcherait, empêcherions, empêcheriez, empêcheraient, empêcheraient
Sortir, sortirais, sortirais, sortirait, sortirait, sortirions, sortiriez, sortiraient, sortiraient
Reprendre, reprendrais, reprendrais, reprendrait, reprendrait, reprendrions, reprendriez, reprendraient, reprendraient
Mener, menerais, menerais, menerait, menerait, menerions, meneriez, meneraient, meneraient
Appartenir, appartiendrais, appartiendrais, appartiendrait, appartiendrait, appartiendrions, appartiendriez, appartiendraient, appartiendraient
Risquer, risquerais, risquerais, risquerait, risquerait, risquerions, risqueriez, risqueraient, risqueraient
Concerner, concernerais, concernerais, concernerait, concernerait, concernerions, concerneriez, concerneraient, concerneraient
Apprendre, apprendrais, apprendrais, apprendrait, apprendrait, apprendrions, apprendriez, apprendraient, apprendraient
Rencontrer, rencontrerais, rencontrerais, rencontrerait, rencontrerait, rencontrerions, rencontreriez, rencontreraient, rencontreraient
Créer, créerais, créerais, créerait, créerait, créerions, créeriez, créeraient, créeraient
Obtenir, obtenirais, obtenirais, obtenirait, obtenirait, obtenirions, obteniriez, obteniraient, obteniraient
Chercher, chercherais, chercherais, chercherait, chercherait, chercherions, chercheriez, chercheraient, chercheraient
Entrer, entrerais, entrerais, entrerait, entrerait, entrerions, entreriez, entreraient, entreraient
Proposer, proposerais, proposerais, proposerait, proposerait, proposerions, proposeriez, proposeraient, proposeraient
Apporter, apporterais, apporterais, apporterait, apporterait, apporterions, apporteriez, apporteraient, apporteraient
Utiliser, utiliserais, utiliserais, utiliserait, utiliserait, utiliserions, utiliseriez, utiliseraient, utiliseraient