Avoir, aurai, auras, aura, aura, aurons, aurez, auront, auront
Être, serai, seras, serait, serait, serons, serez, seront, seront
Aller, irai, iras, ira, ira, irons, irez, iront, iront
Faire, ferai, feras, fera, fera, ferons, ferez, feront, feront
Pouvoir, pourrai, pourras, pourra, pourrons, pourrez, peurront, peurront
Mettre, mettrai, mettras, mettra, mettra, mettrons, mettrez, mettront, mettront
Dire, dirai, diras, dira, dira, dirons, direz, diront, diront
Devoir, devrai, devras, devra, devra, devrons, devrez, devront, devront
Prendre, prendrai, prendras, prendra, prendra, prendrons, prendrez, prendront
Donner, donnerai, donneras, donnera, donnera, donnerons, donnerez, donneront, donneront
Vouloir, voudrai, voudras, voudra, voudra, voudrons, voudrez, voudront, voudront
Savoir, saurai, sauras, saura, saura, saurons, saurez, sauront, sauront
Voir, verai, veras, vera, vera, verons, verez, veront, veront
Demander, demanderai, demanderas, demandera, demandera, demanderons, demanderez, demanderont, demanderont
Trouver, trouverai, trouveras, trouvera, trouvera, trouverons, trouverez, trouveront, trouveront
Rendre, rendrai, rendras, rendra, rendra, rendrons, rendrez, rendront, rendront
Venir, viendrai, viendras, viendra, viendra, viendrons, viendrez, viendront, viendront
Passer, passerai, passeras, passera, passera, passerons, passerez, passeront, passeront
Comprendre, comprendrai, comprendras, comprendra, comprendra, comprendrons, comprendrez, comprendront, comprendront
Rester, resterai, resteras, restera, restera, resterons, resterez, resteront, resteront
Tenir, tiendrai, tiendras, tiendra, tiendra, tiendrons, tiendrez, tiendront, tiendront
Porter, porterai, porteras, portera, portera, porterons, porterez, porteront, porteront
Parler, parlerai, parleras, parlera, parlera, parlerons, parlerez, parleront, parleront
Montrer, montrerai, montreras, montrera, montrera, montrerons, montrerez, montreront, montreront
Continuer, continuerai, continueras, continuera, continuera, continuerons, continuerez, continueront, continueront
Penser, penserai, penseras, pensera, pensera, penserons, penserez, penseront, penseront
Suivre, suivrai, suivras, suivra, suivra, suivrons, suivrez, suivront, suivront
Connaître, connaîtra, connaîtras, connaîtra, connaîtra, connaîtrons, connaîtrez, connaîtront, connaîtront
Croire, croirai, croiras, croira, croira, croirons, croirez, croiront, croiront
Commencer, commencerai, commenceras, commencera, commencera, commenerons, commencerez, commenceront, commenceront
Compter, compterai, compteras, comptera, comptera, compterons, compterez, compteront, compteront
Entendre, entendrai, entendras, entendra, entendra, entendrons, entendrez, entendront, entendront
Attendre, attendrai, attendras, attendra, attendra, attendrons, attendrez, attendront, attendront
Remettre, remettrai, remettras, remettra, remettra, remettrons, remettrez, remettront, remettront
Appeler, appelerai, appeleras, appelera, appelera, appelerons, appelerez, appelleront, appelleront
Permettre, permettrai, permettras, permettra, permettra, permettrons, permettrez, permettront, permettront
Occuper, occuperai, occuperas, occupera, occupera, occuperons, occuperez, occuperont, occuperont
Devenir, deviendrai, deviendras, deviendra, deviendra, deviendrons, deviendrez, deviendront, deviendront
Partir, partirai, partira, partira, partira, partirons, partirez, partiront, partiront
Décider, déciderai, décideras, décidera, décidera, déciderons, déciderez, décideront, décideront
Arriver, arriverai, arriveras, arrivera, arrivera, arriverons, arriverez, arriveront, arriveront
Servir, servirai, serviras, servira, servira, servirons, servirez, serviront, serviront
Sembler, semblerai, sembleras, semblera, semblera, semblerons, semblerez, sembleront, sembleront
Revenir, reviendrai, reviendras, reviendra, reviendra, reviendrons, reviendrez, reviendront, reviendront
Laisser, laisserai, laisseras, laissera, laissera, laisserons, laisserez, laisseront, laisseront
Recevoir, recevrai, recevras, recevra, recevra, recevrons, recevrez, recevront, recevront
Répondre, répondrai, répondras, répondra, répondra, répondrons, répondrez, répondront, répondront
Vivre, vivrai, vivras, vivra, vivra, vivrons, vivrez, vivront, vivront
Rappeler, rappellerai, rappelleras, rappellera, rappellera, rappellerons, rappellerez, rappelleront