Avoir,ai eu,as eu,a eu,a eu,avons eu,avez eu,ont eu,ont eu
Être,ai été,as été,a été,a été,avons été,avez été,ont été,ont été
Aller,suis allé,es allé,est allé,est allée,sommes allés,êtes allés,sont allés,sont allées
Faire,ai fait,as fait,a fait,a fait,avons fait,avez fait,ont fait,ont fait
Pouvoir,ai pu,as pu,a pu,a pu,avons pu,avez pu,ont pu,ont pu
Mettre,ai mis,as mis,a mis,a mis,avons mis,avez mis,ont mis,ont mis
Dire,ai dit,as dit,a dit,a dit,avons dit,avez dit,ont dit,ont dit
Devoir,ai dû,as dû,a dû,a dû,avons dû,avez dû,ont dû,ont dû
Prendre,ai pris,as pris,a pris,a pris,avons pris,avez pris,ont pris,ont pris
Donner,ai donné,as donné,a donné,a donné,avons donné,avez donné,ont donné,ont donné
Vouloir,ai voulu,as voulu,a voulu,a voulu,avons voulu,avez voulu,ont voulu,ont voulu
Savoir,ai su,as su,a su,a su,avons su,avez su,ont su,ont su
Voir,ai vu,as vu,a vu,a vu,avons vu,avez vu,ont su,ont su
Demander,ai demandé,as demandé,a demandé,a demandé,avons demandé,avez demandé,ont demandé,ont demandé
Trouver,ai trouvé,as trouvé,a trouvé,a trouvé,avons trouvé,avez trouvé,ont trouvé,ont trouvé
Rendre,ai rendu,as rendu,a rendu,a rendu,avons rendu,avez rendu,ont rendu,ont rendu
Venir,suis venu,es venu,est venu,est venue,sommes venus,êtes venus,sont venus,sont venues
Passer,ai passé,as passé,a passé,a passé,avons passé,avez passé,ont passé,ont passé
Comprendre,ai compris,as compris,a compris,a compris,avons compris,avez compris,ont compris,ont compris
Rester,suis resté,es resté,est resté,est restée,sommes restés,êtes restés,sont restés,sont restées
Tenir,ai tenu,as tenu,a tenu,a tenu,avons tenu,avez tenu,ont tenu,ont tenu
Porter,ai porté,as porté,a porté,a porté,avons porté,avez porté,ont porté,ont porté
Parler,ai parlé,as parlé,a parlé,a parlé,avons parlé,avez parlé,ont parlé,ont parlé
Montrer,ai montré,as montré,a montré,a montré,avons montré,avez montré,ont montré,ont montré
Continuer,ai continué,as continué,a continué,a continué,avons continué,avez continué,ont continué,ont continué
Penser,ai pensé,as pensé,a pensé,a pensé,avons pensé,avez pensé,ont pensé,ont pensé
Suivre,ai suivi,as suivi,a suivi,a suivi,avons suivi,avez suivi,ont suivi,ont suivi
Connaître,ai connu,as connu,a connu,a connu,avons connu,avez connu,ont connu,ont connu
Croire,ai cru,as cru,a cru,a cru,avons cru,avez cru,ont cru,ont cru
Commencer,ai commencé,as commencé,a commencé,a commencé,avons commencé,avez commencé,ont commencé,ont commencé
Compter,ai compté,as compté,a compté,a compté,avons compté,avez compté,ont compté,ont compté
Entendre,ai entendu,as entendu,a entendu,a entendu,avons entendu,avez entendu,ont entendu,ont entendu
Attendre,ai attendu,as attendu,a attendu,a attendu,avons attendu,avez attendu,ont attendu,ont attendu
Remettre,ai remis,as remis,a remis,a remis,avons remis,avez remis,ont remis,ont remis
Appeler,ai appelé,as appelé,a appelé,a appelé,avons appelé,avez appelé,ont appelé,ont appelé
Permettre,ai permis,as permis,a permis,a permis,avons permis,avez permis,ont permis,ont permis
Occuper,ai occupé,as occupé,a occupé,a occupé,avons occupé,avez occupé,ont occupé,ont occupé
Devenir,suis devenu,es devenu,est devenu,est devenue,sommes devenus,êtes devenus,sont devenus,sont devenues
Partir,suis parti,es parti,est parti,est partie,sommes partis,êtes partis,sont partis,sont parties
Décider,ai décidé,as décidé,a décidé,a décidé,avons décidé,avez décidé,ont décidé,ont décidé
Arriver,suis arrivé,es arrivé,est arrivé,est arrivée,sommes arrivés,êtes arrivés,sont arrivés,sont arrivées
Servir,ai servi,as servi,a servi,a servi,avons servi,avez servi,ont servi,ont servi
Sembler,ai semblé,as semblé,a semblé,a semblé,avons semblé,avez semblé,ont semblé,ont semblé
Revenir,suis revenu,es revenu,est revenu,est revenue,sommes revenus,êtes revenus,sont revenus,sont revenues
Laisser,ai laissé,as laissé,a laissé,a laissé,avons laissé,avez laissé,ont laissé,ont laissé
Recevoir,ai reçu,as reçu,a reçu,a reçu,avons reçu,avez reçu,ont reçu,ont reçu
Répondre,ai répondu,as répondu,a répondu,a répondu,avons répondu,avez répondu,ont répondu,ont répondu
Vivre,ai vécu,as vécu,a vécu,a vécu,avons vécu,avez vécu,ont vécu,ont vécu
Rappeler,ai rappelé,as rappelé,a rappelé,a rappelé,avons rappelé,avez rappelé,ont rappelé,ont rappelé
Présenter,ai présenté, as présenté, a présenté, a présenté, avons présenté, avez présenté, ont présenté, ont présenté
Accepter,ai accepté, as accepté, a accepté, a accepté, avons accepté, avez accepté, ont accepté, ont accepté
Agir,ai agi, as agi,a agi, a agi, avons agi, avez agi, ont agi, ont agi
Poser, ai posé, as posé, a posé, a posé, avons posé, avez posé, ont posé, ont posé
Jouer, ai joué, as joué, a joué, a joué, avons joué, avez joué, ont joué, ont joué
Reconnaître,ai reconnu,as reconnu,a reconnu,a reconnu,avons reconnu,avez reconnu,ont reconnu,ont reconnu
Choisir, ai choisi, as choisi, a choisi, a choisi, avons choisi, avez choisi, ont choisi, ont choisi
Toucher, ai touché, as touché, a touché, a touché, avons touché, avez touché, ont touché, ont touché
Aimer, ai aimé, as aimé, a aimé, a aimé, avons aimé, avez aimé, ont aimé, ont aimé
Retrouver,ai retrouvé,as retrouvé,a retrouvé,a retrouvé,avons retrouvé,avez retrouvé,ont retrouvé,ont retrouvé
Perdre, ai perdu, as perdu, a perdu, a perdu, avons perdu, avez perdu, ont perdu, ont perdu
Expliquer, ai expliqué, as expliqué, a expliqué, a expliqué, avons expliqué, avez expliqué, ont expliqué, ont expliqué
Considérer, ai considéré, as considéré, a considéré, a considéré, avons considéré, avez considéré, ont considéré, ont considéré
Ouvrir, ai ouvert, as ouvert, a ouvert, a ouvert, avons ouvert, avez ouvert, ont ouvert, ont ouvert
Gagner, ai gagné, as gagné, a gagné, a gagné, avons gagné, avez gagné, ont gagné, ont gagné
Exister, ai existé, as existé, a existé, a existé, avons existé, avez existé, ont existé, ont existé
Refuser, ai refusé, as refusé, a refusé, a refusé, avons refusé, avez refusé, ont refusé, ont refusé
Lire, ai lu, as lu, a lu, a lu, avons lu, avez lu, ont lu, ont lu
Réussir, ai réussi, as réussi, a réussi, a réussi, avons réussi, avez réussi, ont réussi, ont réussi
Changer, ai changé, as changé, a changé, a changé, avons changé, avez changé, ont changé, ont changé
Travailler, ai travaillé, as travaillé, a travaillé, a travaillé, avons travaillé, avez travaillé, ont travaillé, ont travaillé
Représenter,ai représenté, as représenté, a représenté, a représenté, avons représenté, avez représenté, ont représenté, ont représenté
Assurer, ai assuré, as assuré, a assuré, a assuré, avons assuré, avez assuré, ont assuré, ont assuré
Essayer, ai essayé, as essayé, a essayé, a essayé, avons essayé, avez essayé, ont essayé, ont essayé
Empêcher, ai empêché, as empêché, a empêché, a empêché, avons empêché, avez empêché, ont empêché, ont empêché
Sortir, suis sorti, es sorti, est sorti, est sortie, sommes sortis, êtes sortis, sont sortis, sont sorties
Reprendre,ai repris,as repris,a repris,a repris,avons repris,avez repris,ont repris,ont repris
Mener, ai mené, as mené, a mené, a mené, avons mené, avez mené, ont mené, ont mené
Appartenir, ai appartenu, as appartenu, a appartenu, a appartenu, avons appartenu, avez appartenu, ont appartenu, ont appartenu
Risquer, ai risqué, as risqué, a risqué, a risqué, avons risqué, avez risqué, ont risqué, ont risqué
Concerner, ai concerné, as concerné, a concerné, a concerné, avons concerné, avez concerné, ont concerné, ont concerné
Apprendre, ai appris, as appris, a appris, a appris, avons appris, avez appris, ont appris, ont appris
Rencontrer, ai rencontré, as rencontré, a rencontré, a rencontré, avons rencontré, avez rencontré, ont rencontré, ont rencontré
Créer, ai créé, as créé, a créé, a créé, avons créé, avez créé, ont créé, ont créé
Obtenir, ai obtenu, as obtenu, a obtenu, a obtenu, avons obtenu, avez obtenu, ont obtenu, ont obtenu
Chercher, ai cherché, as cherché, a cherché, a cherché, avons cherché, avez cherché, ont cherché, ont cherché
Entrer, suis entré, es entré, est entré, est entrée, sommes entrés, êtes entrés, sont entrés, sont entrées
Proposer, ai proposé, as proposé, a proposé, a proposé, avons proposé, avez proposé, ont proposé, ont proposé
Apporter, ai apporté, as apporté, a apporté, a apporté, avons apporté, avez apporté, ont apporté, ont apporté
Utiliser, ai utilisé, as utilisé, a utilisé, a utilisé, avons utilisé, avez utilisé, ont utilisé, ont utilisé
Atteindre, ai atteint, as atteint, a atteint, a atteint, avons atteint, avez atteint, ont atteint, ont atteint
Tenter, ai tenté, as tenté, a tenté, a tenté, avons tenté, avez tenté, ont tenté, ont tenté
Importer, ai importé, as importé, a importé, a importé, avons importé, avez importé, ont importé, ont importé
Ajouter, ai ajouté, as ajouté, a ajouté, a ajouté, avons ajouté, avez ajouté, ont ajouté, ont ajouté
Produire, ai produit, as produit, a produit, a produit, avons produit, avez produit, ont produit, ont produit
Préparer, ai préparé, as préparé, a préparé, a préparé, avons préparé, avez préparé, ont préparé, ont préparé
Relever, ai relevé, as relevé, a relevé, a relevé, avons relevé, avez relevé, ont relevé, ont relevé
Écrire, ai écrit, as écrit, a écrit, a écrit, avons écrit, avez écrit, ont écrit, ont écrit
Défendre, ai défendu, as défendu, a défendu, a défendu, avons défendu, avez défendu, ont défendu, ont défendu
Tirer, ai tiré, as tiré, a tiré, a tiré, avons tiré, avez tiré, ont tiré, ont tiré
S'éloigner, me suis éloigné, t'es éloigné, s'est éloigné, s'est éloigné, nous sommes éloignés, vous êtes éloigné, se sont éloignés, se sont éloignés
S'appeler, me suis appelé, t'es appelé, s'est appelé, s'est appelée, nous sommes appelés, vous êtes appelés, se sont appelés, se sont appelées
S'asseoir, me suis assis, t'es assis, s'est assis, s'est assise, nous sommes assis, vous êtes assis, se sont assis, se sont assises
S'arrêter, me suis arrêté, t'es arrêté, s'est arrêté, s'est arrêtée, nous sommes arrêtés, vous êtes arrêtés, se sont arrêtés, se sont arrêtées
S'avancer, me suis avancé, t'es avancé, s'est avancé, s'est avancée, nous sommes avancés, vous êtes avancés, se sont avancés, se sont avancées
S'habiller, me suis habillé, t'es habillé, s'est habillé, s'est habillée, nous sommes habillés, vous êtes habillés, se sont habillés, se sont habillées
Se coucher, me suis couché, t'es couché, s'est couché, s'est couchée, nous sommes couchés, vous êtes couchés, se sont couchés, se sont couchées
Se cacher, me suis caché, t'es caché, s'est caché, s'est cachée, nous sommes cachés, vous êtes cachés, se sont caché, se sont cachées
Se blesser, me suis blessé, t'es blessé, s'est blessé, s'est blessées, nous sommes blessés, vous êtes blessés, se sont blessés, se sont blessées
Se distraire, me suis distrait, t'es distrait, s'est distrait, s'est distraite, nous sommes distraits, vous êtes distraits, se sont distraits, se sont distraites  
Se doucher, me suis douché, t'es douché, s'est douché, s'est douchée, nous sommes douchés, vous êtes douchés, se sont douchés, se sont douchées
S'ennuyer, me suis ennuyé, t'es ennuyé, s'est ennuyé, s'est ennuyée, nous sommes ennuyés, vous êtes ennuyés, se sont ennuyé, se sont ennuyées
Se laver, me suis lavé, t'es lavé, s'est lavé, s'est lavée, nous sommes lavés, vous êtes lavés, se sont lavés, se sont lavées
Se marier, me suis marié, t'es marié, s'est marié, s'est mariée, nous sommes mariés, vous êtes mariés, se sont mariés, se sont mariées
Se préparer, me suis préparé, t'es préparé, s'est préparé, s'est préparée, nous sommes préparés, vous êtes préparés, se sont préparés, se sont préparées
Se promener, me suis promené, t'es promené, s'est promené, s'est promenée, nous sommes promenés, vous êtes promenés, se sont promenés, se sont promenées
Se réveiller, me suis réveillé, t'es réveillé, s'est réveillé, s'est réveillée, nous sommes réveillés, vous êtes réveillés, se sont réveillés, se sont réveillées
Se transformer, me suis transformé, t'es transformé, s'est transformé, s'est transformée, nous sommes transformés, vous êtes transformés, se sont transformés, se sont transformées
Se tromper, me suis trompé, t'es trompé, s'est trompé, s'est trompée, nous sommes trompés, vous êtes trompés, se sont trompés, se sont trompées