Avoir,avais eu,avais eu,avait eu,avait eu,avions eu,aviez eu,avaient eu,avaient eu
Être,avais été,avais été,avait été,avait été,avions été,aviez été,avaient été,avaient été
Aller,étais allé,étais allé,était allé,était allée,étions allés,étiez allés,étaient allés,étaient allées
Faire,avais fait,avais fait,avait fait,avait fait,avions fait,aviez fait,avaient fait,avaient fait
Pouvoir,avais pu,avais pu,avait pu,avait pu,avions pu,aviez pu,avaient pu,avaient pu
Mettre,avais mis,avais mis,avait mis,avait mis,avions mis,aviez mis,avaient mis,avaient mis
Dire,avais dit,avais dit,avait dit,avait dit,avions dit,aviez dit,avaient dit,avaient dit
Devoir,avais dû,avais dû,avait dû,avait dû,avions dû,aviez dû,avaient dû,avaient dû
Prendre,avais pris,avais pris,avait pris,avait pris,avions pris,aviez pris,avaient pris,avaient pris
Donner,avais donné,avais donné,avait donné,avait donné,avions donné,aviez donné,avaient donné,avaient donné
Vouloir,avais voulu,avais voulu,avait voulu,avait voulu,avions voulu,aviez voulu,avaient voulu,avaient voulu
Savoir,avais su,avais su,avait su,avait su,avions su,aviez su,avaient su,avaient su
Voir,avais vu,avais vu,avait vu,avait vu,avions vu,aviez vu,avaient su,avaient su
Demander,avais demandé,avais demandé,avait demandé,avait demandé,avions demandé,aviez demandé,avaient demandé,avaient demandé
Trouver,avais trouvé,avais trouvé,avait trouvé,avait trouvé,avions trouvé,aviez trouvé,avaient trouvé,avaient trouvé
Rendre,avais rendu,avais rendu,avait rendu,avait rendu,avions rendu,aviez rendu,avaient rendu,avaient rendu
Venir,étais venu,étais venu,était venu,était venue,étions venus,étiez venus,étaient venus,étaient venues
Passer,avais passé,avais passé,avait passé,avait passé,avions passé,aviez passé,avaient passé,avaient passé
Comprendre,avais compris,avais compris,avait compris,avait compris,avions compris,aviez compris,avaient compris,avaient compris
Rester,étais resté,étais resté,était resté,était restée,étions restés,étiez restés,étaient restés,étaient restées
Tenir,avais tenu,avais tenu,avait tenu,avait tenu,avions tenu,aviez tenu,avaient tenu,avaient tenu
Porter,avais porté,avais porté,avait porté,avait porté,avions porté,aviez porté,avaient porté,avaient porté
Parler,avais parlé,avais parlé,avait parlé,avait parlé,avions parlé,aviez parlé,avaient parlé,avaient parlé
Montrer,avais montré,avais montré,avait montré,avait montré,avions montré,aviez montré,avaient montré,avaient montré
Continuer,avais continué,avais continué,avait continué,avait continué,avions continué,aviez continué,avaient continué,avaient continué
Penser,avais pensé,avais pensé,avait pensé,avait pensé,avions pensé,aviez pensé,avaient pensé,avaient pensé
Suivre,avais suivi,avais suivi,avait suivi,avait suivi,avions suivi,aviez suivi,avaient suivi,avaient suivi
Connaître,avais connu,avais connu,avait connu,avait connu,avions connu,aviez connu,avaient connu,avaient connu
Croire,avais cru,avais cru,avait cru,avait cru,avions cru,aviez cru,avaient cru,avaient cru
Commencer,avais commencé,avais commencé,avait commencé,avait commencé,avions commencé,aviez commencé,avaient commencé,avaient commencé
Compter,avais compté,avais compté,avait compté,avait compté,avions compté,aviez compté,avaient compté,avaient compté
Entendre,avais entendu,avais entendu,avait entendu,avait entendu,avions entendu,aviez entendu,avaient entendu,avaient entendu
Attendre,avais attendu,avais attendu,avait attendu,avait attendu,avions attendu,aviez attendu,avaient attendu,avaient attendu
Remettre,avais remis,avais remis,avait remis,avait remis,avions remis,aviez remis,avaient remis,avaient remis
Appeler,avais appelé,avais appelé,avait appelé,avait appelé,avions appelé,aviez appelé,avaient appelé,avaient appelé
Permettre,avais permis,avais permis,avait permis,avait permis,avions permis,aviez permis,avaient permis,avaient permis
Occuper,avais occupé,avais occupé,avait occupé,avait occupé,avions occupé,aviez occupé,avaient occupé,avaient occupé
Devenir,étais devenu,étais devenu,était devenu,était devenue,étions devenus,étiez devenus,étaient devenus,étaient devenues
Partir,étais parti,étais parti,était parti,était partie,étions partis,étiez partis,étaient partis,étaient parties
Décider,avais décidé,avais décidé,avait décidé,avait décidé,avions décidé,aviez décidé,avaient décidé,avaient décidé
Arriver,étais arrivé,étais arrivé,était arrivé,était arrivée,étions arrivés,étiez arrivés,étaient arrivés,étaient arrivées
Servir,avais servi,avais servi,avait servi,avait servi,avions servi,aviez servi,avaient servi,avaient servi
Sembler,avais semblé,avais semblé,avait semblé,avait semblé,avions semblé,aviez semblé,avaient semblé,avaient semblé
Revenir,étais revenu,étais revenu,était revenu,était revenue,étions revenus,étiez revenus,étaient revenus,étaient revenues
Laisser,avais laissé,avais laissé,avait laissé,avait laissé,avions laissé,aviez laissé,avaient laissé,avaient laissé
Recevoir,avais reçu,avais reçu,avait reçu,avait reçu,avions reçu,aviez reçu,avaient reçu,avaient reçu
Répondre,avais répondu,avais répondu,avait répondu,avait répondu,avions répondu,aviez répondu,avaient répondu,avaient répondu
Vivre,avais vécu,avais vécu,avait vécu,avait vécu,avions vécu,aviez vécu,avaient vécu,avaient vécu
Rappeler,avais rappelé,avais rappelé,avait rappelé,avait rappelé,avions rappelé,aviez rappelé,avaient rappelé,avaient rappelé
Présenter,avais présenté, avais présenté, avait présenté, avait présenté, avions présenté, aviez présenté, avaient présenté, avaient présenté
Accepter,avais accepté, avais accepté, avait accepté, avait accepté, avions accepté, aviez accepté, avaient accepté, avaient accepté
Agir,avais agi, avais agi,avait agi, avait agi, avions agi, aviez agi, avaient agi, avaient agi
Poser, avais posé, avais posé, avait posé, avait posé, avions posé, aviez posé, avaient posé, avaient posé
Jouer, avais joué, avais joué, avait joué, avait joué, avions joué, aviez joué, avaient joué, avaient joué
Reconnaître,avais reconnu,avais reconnu,avait reconnu,avait reconnu,avions reconnu,aviez reconnu,avaient reconnu,avaient reconnu
Choisir, avais choisi, avais choisi, avait choisi, avait choisi, avions choisi, aviez choisi, avaient choisi, avaient choisi
Toucher, avais touché, avais touché, avait touché, avait touché, avions touché, aviez touché, avaient touché, avaient touché
Aimer, avais aimé, avais aimé, avait aimé, avait aimé, avions aimé, aviez aimé, avaient aimé, avaient aimé
Retrouver,avais retrouvé,avais retrouvé,avait retrouvé,avait retrouvé,avions retrouvé,aviez retrouvé,avaient retrouvé,avaient retrouvé
Perdre, avais perdu, avais perdu, avait perdu, avait perdu, avions perdu, aviez perdu, avaient perdu, avaient perdu
Expliquer, avais expliqué, avais expliqué, avait expliqué, avait expliqué, avions expliqué, aviez expliqué, avaient expliqué, avaient expliqué
Considérer, avais considéré, avais considéré, avait considéré, avait considéré, avions considéré, aviez considéré, avaient considéré, avaient considéré
Ouvrir, avais ouvert, avais ouvert, avait ouvert, avait ouvert, avions ouvert, aviez ouvert, avaient ouvert, avaient ouvert
Gagner, avais gagné, avais gagné, avait gagné, avait gagné, avions gagné, aviez gagné, avaient gagné, avaient gagné
Exister, avais existé, avais existé, avait existé, avait existé, avions existé, aviez existé, avaient existé, avaient existé
Refuser, avais refusé, avais refusé, avait refusé, avait refusé, avions refusé, aviez refusé, avaient refusé, avaient refusé
Lire, avais lu, avais lu, avait lu, avait lu, avions lu, aviez lu, avaient lu, avaient lu
Réussir, avais réussi, avais réussi, avait réussi, avait réussi, avions réussi, aviez réussi, avaient réussi, avaient réussi
Changer, avais changé, avais changé, avait changé, avait changé, avions changé, aviez changé, avaient changé, avaient changé
Travailler, avais travaillé, avais travaillé, avait travaillé, avait travaillé, avions travaillé, aviez travaillé, avaient travaillé, avaient travaillé
Représenter,avais représenté, avais représenté, avait représenté, avait représenté, avions représenté, aviez représenté, avaient représenté, avaient représenté
Assurer, avais assuré, avais assuré, avait assuré, avait assuré, avions assuré, aviez assuré, avaient assuré, avaient assuré
Essayer, avais essayé, avais essayé, avait essayé, avait essayé, avions essayé, aviez essayé, avaient essayé, avaient essayé
Empêcher, avais empêché, avais empêché, avait empêché, avait empêché, avions empêché, aviez empêché, avaient empêché, avaient empêché
Sortir, étais sorti, étais sorti, était sorti, était sortie, étions sortis, étiez sortis, étaient sortis, étaient sorties
Reprendre,avais repris,avais repris,avait repris,avait repris,avions repris,aviez repris,avaient repris,avaient repris
Mener, avais mené, avais mené, avait mené, avait mené, avions mené, aviez mené, avaient mené, avaient mené
Appartenir, avais appartenu, avais appartenu, avait appartenu, avait appartenu, avions appartenu, aviez appartenu, avaient appartenu, avaient appartenu
Risquer, avais risqué, avais risqué, avait risqué, avait risqué, avions risqué, aviez risqué, avaient risqué, avaient risqué
Concerner, avais concerné, avais concerné, avait concerné, avait concerné, avions concerné, aviez concerné, avaient concerné, avaient concerné
Apprendre, avais appris, avais appris, avait appris, avait appris, avions appris, aviez appris, avaient appris, avaient appris
Rencontrer, avais rencontré, avais rencontré, avait rencontré, avait rencontré, avions rencontré, aviez rencontré, avaient rencontré, avaient rencontré
Créer, avais créé, avais créé, avait créé, avait créé, avions créé, aviez créé, avaient créé, avaient créé
Obtenir, avais obtenu, avais obtenu, avait obtenu, avait obtenu, avions obtenu, aviez obtenu, avaient obtenu, avaient obtenu
Chercher, avais cherché, avais cherché, avait cherché, avait cherché, avions cherché, aviez cherché, avaient cherché, avaient cherché
Entrer, étais entré, étais entré, était entré, était entrée, étions entrés, étiez entrés, étaient entrés, étaient entrées
Proposer, avais proposé, avais proposé, avait proposé, avait proposé, avions proposé, aviez proposé, avaient proposé, avaient proposé
Apporter, avais apporté, avais apporté, avait apporté, avait apporté, avions apporté, aviez apporté, avaient apporté, avaient apporté
Utiliser, avais utilisé, avais utilisé, avait utilisé, avait utilisé, avions utilisé, aviez utilisé, avaient utilisé, avaient utilisé
Atteindre, avais atteint, avais atteint, avait atteint, avait atteint, avions atteint, aviez atteint, avaient atteint, avaient atteint
Tenter, avais tenté, avais tenté, avait tenté, avait tenté, avions tenté, aviez tenté, avaient tenté, avaient tenté
Importer, avais importé, avais importé, avait importé, avait importé, avions importé, aviez importé, avaient importé, avaient importé
Ajouter, avais ajouté, avais ajouté, avait ajouté, avait ajouté, avions ajouté, aviez ajouté, avaient ajouté, avaient ajouté
Produire, avais produit, avais produit, avait produit, avait produit, avions produit, aviez produit, avaient produit, avaient produit
Préparer, avais préparé, avais préparé, avait préparé, avait préparé, avions préparé, aviez préparé, avaient préparé, avaient préparé
Relever, avais relevé, avais relevé, avait relevé, avait relevé, avions relevé, aviez relevé, avaient relevé, avaient relevé
Écrire, avais écrit, avais écrit, avait écrit, avait écrit, avions écrit, aviez écrit, avaient écrit, avaient écrit
Défendre, avais défendu, avais défendu, avait défendu, avait défendu, avions défendu, aviez défendu, avaient défendu, avaient défendu
Tirer, avais tiré, avais tiré, avait tiré, avait tiré, avions tiré, aviez tiré, avaient tiré, avaient tiré
S'éloigner, m'étais éloigné, t'étais éloigné, s'était éloigné, s'était éloigné, nous étions éloignés, vous étiez éloigné, s'étaient éloignés, s'étaient éloignés
S'appeler, m'étais appelé, t'étais appelé, s'était appelé, s'était appelée, nous étions appelés, vous étiez appelés, s'étaient appelés, s'étaient appelées
S'asseoir, m'étais assis, t'étais assis, s'était assis, s'était assise, nous étions assis, vous étiez assis, s'étaient assis, s'étaient assises
S'arrêter, m'étais arrêté, t'étais arrêté, s'était arrêté, s'était arrêtée, nous étions arrêtés, vous étiez arrêtés, s'étaient arrêtés, s'étaient arrêtées
S'avancer, m'étais avancé, t'étais avancé, s'était avancé, s'était avancée, nous étions avancés, vous étiez avancés, s'étaient avancés, s'étaient avancées
S'habiller, m'étais habillé, t'étais habillé, s'était habillé, s'était habillée, nous étions habillés, vous étiez habillés, s'étaient habillés, s'étaient habillées
Se coucher, m'étais couché, t'étais couché, s'était couché, s'était couchée, nous étions couchés, vous étiez couchés, s'étaient couchés, s'étaient couchées
Se cacher, m'étais caché, t'étais caché, s'était caché, s'était cachée, nous étions cachés, vous étiez cachés, s'étaient caché, s'étaient cachées
Se blesser, m'étais blessé, t'étais blessé, s'était blessé, s'était blessées, nous étions blessés, vous étiez blessés, s'étaient blessés, s'étaient blessées
Se distraire, m'étais distrait, t'étais distrait, s'était distrait, s'était distraite, nous étions distraits, vous étiez distraits, s'étaient distraits, s'étaient distraites  
Se doucher, m'étais douché, t'étais douché, s'était douché, s'était douchée, nous étions douchés, vous étiez douchés, s'étaient douchés, s'étaient douchées
S'ennuyer, m'étais ennuyé, t'étais ennuyé, s'était ennuyé, s'était ennuyée, nous étions ennuyés, vous étiez ennuyés, s'étaient ennuyé, s'étaient ennuyées
Se laver, m'étais lavé, t'étais lavé, s'était lavé, s'était lavée, nous étions lavés, vous étiez lavés, s'étaient lavés, s'étaient lavées
Se marier, m'étais marié, t'étais marié, s'était marié, s'était mariée, nous étions mariés, vous étiez mariés, s'étaient mariés, s'étaient mariées
Se préparer, m'étais préparé, t'étais préparé, s'était préparé, s'était préparée, nous étions préparés, vous étiez préparés, s'étaient préparés, s'étaient préparées
Se promener, m'étais promené, t'étais promené, s'était promené, s'était promenée, nous étions promenés, vous étiez promenés, s'étaient promenés, s'étaient promenées
Se réveiller, m'étais réveillé, t'étais réveillé, s'était réveillé, s'était réveillée, nous étions réveillés, vous étiez réveillés, s'étaient réveillés, s'étaient réveillées
Se transformer, m'étais transformé, t'étais transformé, s'était transformé, s'était transformée, nous étions transformés, vous étiez transformés, s'étaient transformés, s'étaient transformées
Se tromper, m'étais trompé, t'étais trompé, s'était trompé, s'était trompée, nous étions trompés, vous étiez trompés, s'étaient trompés, s'étaient trompées