Avoir, ai, as, a, a, avons, avez, ont, ont
Être, suis, es, est, est, sommes, êtes, sont, sont
Aller, vais, vas, va, va, allons, allez, vont, vont
Faire, fais, fais, fait, fait, faison, faites, font, font
Pouvoir, peux, peux, peut, peut, pouvons, pouvez, peuvent, peuvent
Mettre, mets, mets, met, met, mettons, mettez, mettent, mettent
Dire, dis, dis, dit, dit, disons, dites, disent, disent
Devoir, dois, dois, doit, doit, devons, devez, doivent, doivent
Prendre, prends, prends, prend, prend, prenons, prenez, prennent, prennent
Donner, donne, donnes, donne, donne, donnons, donnez, donnent, donnent
Vouloir, veux, veux, veut, veut, voulons, voulez, veulent, veulent
Savoir, sais, sais, sait, sait, savons, savez, savent, savent
Voir, vois, vois, voit, voit, voyons, voyez, voient, voient
Demander, demande, demandes, demande, demande, demandons, demandez, demandent, demandent
Trouver, trouve, trouves, trouve, trouve, trouvons, trouvez, trouvent, trouvent
Rendre, rends, rends, rend, rend, rendons, rendez, rendent, rendent
Venir, viens, viens, vient, vient, venons, venez, viennent, viennent
Passer, passe, passes, passe, passe, passons, passez, passent, passent
Comprendre, comprends, comprends, comprend, comprend, comprenons, comprenez, comprennent, comprennent
Rester, reste, restes, reste, reste, restons, restez, restent, restent
Tenir, tiens, tiens, tient, tient, tenons, tenez, tiennent, tiennent
Porter, porte, portes, porte, porte, portons, portez, portent, portent
Parler, parle, parles, parle, parle, parlons, parlez, parlent, parlent
Montrer, montre, montres, montre, montre, montrons, montrez, montrent, montrent
Continuer, continue, continues, continue, continue, continuons, continuez, continuent, continuent
Penser, pense, penses, pense, pense, pensons, pensez, pensent, pensent
Suivre, suis, suis, suit, suit, suivons, suivez, suivent, suivent
Connaître, connais, connais, connaît, connaît, connaissons, connaissez, connaissent, connaissent
Croire, crois, crois, croit, croit, croyons, croyez, croient, croient
Commencer, commence, commences, commence, commence, commençons, commencez, commencent, commencent
Compter, compte, comptes, compte, compte, comptons, comptez, comptent, comptent
Entendre, entends, entends, entend, entend, entendons, entendez, entendent, entendent
Attendre, attends, attends, attend, attend, attendons, attendez, attendent, attendent
Remettre, remets, remets, remet, remet, remettons, remettez, remettent, remettent
Appeler, appelle, appelles, appelle, appelle, appelons, appelez, appellent, appellent
Permettre, permets, permets, permet, permet, permettons, permettez, permettent, permettent
Occuper, occupe, occupes, occupe, occupe, occupons, occupez, occupent, occupent
Devenir, deviens, deviens, devient, devient, devenons, devenez, deviennent, deviennent
Partir, pars, pars, part, part, partons, partez, partent, partent
Décider, décide, décides, décide, décide, décidons, décidez, décident, décident
Arriver, arrive, arrives, arrive, arrive, arrivons, arrivez, arrivent, arrivent
Servir, sers, sers, sert, sert, servons, servez, servent, servent
Sembler, semble, sembles, semble, semble, semblons, semblez, semblent, semblent
Revenir, reviens, reviens, revient, revient, revenons, revenez, reviennent, reviennent
Laisser, laisse, laisses, laisse, laisse, laissons, laissez, laissent, laissent
Recevoir, reçois, reçois, reçoit, reçoit, recevons, recevez, reçoivent, reçoivent
Répondre, réponds, réponds, répond, répond, répondons, répondez, répondent, répondent
Vivre, vis, vis, vit, vit, vivons, vivez, vivent, vivent
Rappeler, rappelle, rappelles, rappelle, rappelle, rappelons, rappelez, rappellent, rappellent
Présenter, présente, présentes, présente, présente, présentons, présentez, présentent, présentent
Accepter, accepte, acceptes, accepte, accepte, acceptons, acceptez, acceptent, acceptent
Agir, agis, agis, agit, agit, agissons, agissez, agissent, agissent
Poser, pose, poses, pose, pose, posons, posez, posent, posent
Jouer, joue, joues, joue, joue, jouons, jouez, jouent, jouent
Reconnaître, reconnais, reconnais, reconnaît, reconnaît, reconnaissons, reconnaissez, reconnaissent, reconnaissent
Choisir, choisis, choisis, choisit, choisissons, choisissez, choisissent, choisissent
Toucher, touche, touches, touche, touche, touchons, touchez, touchent, touchent
Aimer, aime, aimes, aime, aime, aimons, aimez, aiment, aiment
Retrouver, retrouve, retrouves, retrouve, retrouve, retrouvons, retrouvez, retrouvent, retrouvent
Perdre, perds, perds, perd, perd, perdons, perdez, perdent, perdent
Expliquer, explique, expliques, explique, explique, expliquons, expliquez, expliquent, expliquent
Considérer, considère,considères,considère,considère,considèrons,considèrez,considèrent,considèrent
Ouvrir, ouvre, ouvres, ouvre, ouvre, ouvrons, ouvrez, ouvrent, ouvrent
Gagner, gagne, gagnes, gagne, gagne, gagnons, gagnez, gagnent, gagnent
Exister, existe, exites, existe, existe, existons, existez, existent, existent
Refuser, refuse, refuses, refuse, refuse, refusons, refusez, refusent, refusent
Lire, lis, lis, lit, lit, lisons, lisez, lisent, lisent
Réussir, réussis, réussis, réussit, réussit, réussissons, réussissez, réussissent, réussissent
Changer, change, changes, change, change, changeons, changez, changent, changent
Travailler, travaille, travailles, travaille, travaille, travaillons, travaillez, travaillent, travaillent
Représenter, représente, représentes, représente, représente, représentons, représentez, représentent, représentent
Assurer, assure, assures, assure, assure, assurons, assurez, assurent, assurent
Essayer, essaie, essaies, essaie, essaie, essayons, essayez, essaient, essaient
Empêcher, empêche, empêches, empêche, empêche, empêchons, empêchez, empêchent, empêchent
Sortir, sors, sors, sort, sort, sortons, sortez, sortent, sortent
Reprendre, reprends, reprends, reprend, reprend, reprenons, reprenez, reprennent, reprennent
Mener, mène,mènes,mène,mène,menons,menez,mènent,mènent
Appartenir, appartiens, appartiens, appartient, appartient, appartenons, appartenez, appartiennent, appartiennent
Risquer, risque, risques, risque, risque, risquons, risquez, risquent, risquent
Concerner, concerne,concernes,concerne,concerne,concernons,concernez,concernent,concernent
Apprendre, apprends,apprends,apprend,apprend,apprenons,apprenez,apprennent,apprennent
Rencontre, rencontre, rencontres, rencontre, rencontre, rencontrons, rencontrez, rencontrent, rencontrent
Créer, crée, crées, crée, crée, créons, créez, créent, créent
Obtenir, obtiens, obtiens, obtient, otbient, obtenons, obtenez, obtiennent, obtiennent
Chercher, cherche, cherches, cherche, cherche, cherchons, cherchez, cherchent, cherchent
Entrer, entre, entres, entre, entre, entrons, entrez, entrent, entrent
Proposer, propose, proposes, propose, propose, proposons, proposez, proposent, proposent
Apporter, apporte, apportes, apporte, apporte, apportons, apportez, apportent, apportent
Utiliser, utilise, utilises, utilise, utilise, utilisons, utilisez, utilisent, utilisent